iter	RMSE
0	0.2237393595
1	0.2202167805
2	0.2176047264
3	0.2155244719
4	0.2123531518
5	0.2112665978
6	0.2089464204
7	0.2074517772
8	0.2056972955
9	0.2039684649
10	0.2022181748
11	0.2014100129
12	0.2000497339
13	0.1988283834
14	0.1974862804
15	0.1963070212
16	0.1947122001
17	0.1929722803
18	0.1917071592
19	0.1901859117
20	0.1890900302
21	0.1883308968
22	0.1874139754
23	0.186089284
24	0.1853156642
25	0.184824124
26	0.1843950968
27	0.1837032581
28	0.1832145871
29	0.1814787433
30	0.1794818506
31	0.1784857273
32	0.1777048003
33	0.1761288661
34	0.1752195178
35	0.1742069948
36	0.1738229409
37	0.1723655316
38	0.1713136389
39	0.170644755
40	0.1699270582
41	0.1685249308
42	0.1667301165
43	0.165179847
44	0.1643712901
45	0.1634911774
46	0.1626528222
47	0.1621695052
48	0.1613865809
49	0.1603310997
50	0.1594512188
51	0.1591092283
52	0.1585602485
53	0.1568773685
54	0.1560732439
55	0.1552840297
56	0.1544395558
57	0.1531214707
58	0.1522572968
59	0.1514321269
60	0.1503416222
61	0.1500801043
62	0.1493112322
63	0.1485106527
64	0.1473460282
65	0.1467400702
66	0.1463417675
67	0.1453718275
68	0.1447569273
69	0.1436772262
70	0.1432352502
71	0.1426542558
72	0.1419659535
73	0.1417685641
74	0.1408136821
75	0.1394169667
76	0.1377393937
77	0.1372839222
78	0.1362708093
79	0.136058314
80	0.1350226193
81	0.1347537188
82	0.1342665997
83	0.1333629403
84	0.1327995824
85	0.1319432874
86	0.130981615
87	0.1306357599
88	0.1294453336
89	0.1286294457
90	0.1276976773
91	0.1270808323
92	0.1266210028
93	0.1262299521
94	0.1259033143
95	0.1252170332
96	0.1246581264
97	0.124452792
98	0.1238504977
99	0.1234308078
