iter	Passed	Remaining
0	67	6650
1	119	5842
2	172	5574
3	234	5633
4	289	5508
5	348	5460
6	404	5367
7	462	5320
8	526	5327
9	594	5351
10	659	5336
11	729	5352
12	795	5324
13	861	5294
14	929	5269
15	996	5231
16	1062	5186
17	1130	5149
18	1202	5126
19	1269	5078
20	1340	5042
21	1405	4983
22	1473	4931
23	1540	4877
24	1611	4833
25	1670	4754
26	1736	4695
27	1800	4628
28	1865	4567
29	1936	4519
30	1999	4449
31	2070	4400
32	2132	4328
33	2199	4269
34	2263	4202
35	2331	4144
36	2397	4081
37	2459	4013
38	2526	3951
39	2589	3884
40	2656	3823
41	2717	3752
42	2783	3690
43	2844	3619
44	2917	3565
45	2978	3496
46	3038	3425
47	3102	3360
48	3163	3292
49	3225	3225
50	3285	3157
51	3347	3090
52	3410	3023
53	3470	2955
54	3533	2890
55	3598	2827
56	3665	2764
57	3725	2697
58	3787	2632
59	3847	2564
60	3911	2500
61	3976	2437
62	4041	2373
63	4103	2308
64	4171	2246
65	4231	2179
66	4295	2115
67	4355	2049
68	4418	1985
69	4479	1919
70	4542	1855
71	4603	1790
72	4664	1725
73	4735	1663
74	4798	1599
75	4871	1538
76	4933	1473
77	4995	1409
78	5061	1345
79	5120	1280
80	5186	1216
81	5257	1154
82	5320	1089
83	5381	1025
84	5446	961
85	5513	897
86	5581	833
87	5646	770
88	5719	706
89	5780	642
90	5850	578
91	5912	514
92	5979	450
93	6045	385
94	6120	322
95	6186	257
96	6250	193
97	6321	129
98	6391	64
99	6466	0
